x = 0.4805296892858879	y = 0.4546467007864504	t = 0.0005540847778320312
x = -0.32297076381612094	y = 0.58709127124683	t = 6.6458516120910645
x = -0.3249563632537664	y = 0.58614601941279	t = 6.660534381866455
x = -0.32650308964734165	y = 0.585415825491253	t = 6.675117492675781
x = -0.3285007591132605	y = 0.5844963566981615	t = 6.689840316772461
x = -0.3298325387572064	y = 0.5838833775027671	t = 6.704461574554443
x = -0.33138395907524804	y = 0.5831632103718875	t = 6.717931032180786
x = -0.33293770199318484	y = 0.5824480679772607	t = 6.733368873596191
x = -0.334265486108975	y = 0.5818264814138037	t = 6.747722387313843
x = -0.33558921906740535	y = 0.5811963135244437	t = 6.763502597808838
x = -0.33713118673444464	y = 0.5804561234046524	t = 6.778242588043213
x = -0.33866589524466884	y = 0.5797009972640128	t = 6.793391466140747
x = -0.3397568271605754	y = 0.5791510037078587	t = 6.807636260986328
x = -0.34106594545966334	y = 0.5784910114404737	t = 6.821979284286499
x = -0.3423707644038423	y = 0.5778225594699276	t = 6.8352580070495605
x = -0.34389052128494785	y = 0.5770377762374591	t = 6.851393699645996
x = -0.34519749675127404	y = 0.5763735506399125	t = 6.865841388702393
x = -0.3467248014335434	y = 0.5756035596612966	t = 6.880422115325928
x = -0.3482595099437676	y = 0.5748484335206571	t = 6.895328760147095
x = -0.3500244872216746	y = 0.5740082096681771	t = 6.9090399742126465
x = -0.3513482201801049	y = 0.5733780417788171	t = 6.923996210098267
x = -0.3526760042958951	y = 0.5727564552153601	t = 6.9370341300964355
x = -0.35444638311694876	y = 0.5719276731307508	t = 6.952899217605591
x = -0.35621676193800234	y = 0.5710988910461414	t = 6.97137451171875
x = -0.35754049489643264	y = 0.5704687231567814	t = 6.986992597579956
x = -0.3588601212380272	y = 0.5698300003432036	t = 7.004999160766602
x = -0.3601755856753622	y = 0.5691827493655126	t = 7.018530368804932
x = -0.36104975062204203	y = 0.568745581349245	t = 7.0331151485443115
x = -0.36235239937727537	y = 0.5680729100071292	t = 7.047449827194214
x = -0.36343612014579263	y = 0.5675088402837444	t = 7.06442666053772
x = -0.36473658506801326	y = 0.5668319566156826	t = 7.077101230621338
x = -0.3660414040121921	y = 0.5661635046451365	t = 7.091386318206787
x = -0.3675711926688818	y = 0.5653984606166683	t = 7.107814788818359
x = -0.369108337006689	y = 0.564648305309829	t = 7.123548746109009
x = -0.37065269212485763	y = 0.563913109438909	t = 7.13723087310791
x = -0.37220411244289914	y = 0.5631929423080295	t = 7.15264368057251
x = -0.3735339012869348	y = 0.562575656195847	t = 7.1672234535217285
x = -0.37508298275535673	y = 0.5618504718718139	t = 7.185790538787842
x = -0.37641076687114694	y = 0.5612288853083569	t = 7.200416326522827
x = -0.37751217234760354	y = 0.5607001780799346	t = 7.2159130573272705
x = -0.378611860965599	y = 0.5601679090686197	t = 7.229477882385254
x = -0.37970632997128323	y = 0.5596249883077793	t = 7.244402170181274
x = -0.38057907550400855	y = 0.559184993462856	t = 7.2605884075164795
x = -0.3816646161333697	y = 0.5586244340110927	t = 7.274759769439697
x = -0.3827483369018869	y = 0.5580603642877079	t = 7.289265394210815
x = -0.3840488018241076	y = 0.5573834806196462	t = 7.305157423019409
x = -0.38557360653482153	y = 0.5566085507558417	t = 7.321893692016602
x = -0.3866645384507282	y = 0.5560585571996876	t = 7.335369110107422
x = -0.38819924696095237	y = 0.555303431059048	t = 7.349836349487305
x = -0.3904122204872693	y = 0.5542674534532863	t = 7.375079154968262
x = -0.391520377857299	y = 0.5537530483598009	t = 7.38916540145874
x = -0.39396197387119986	y = 0.5526292531682445	t = 7.416675567626953
x = -0.39616819546858373	y = 0.5515789733526445	t = 7.446681022644043
x = -0.397922148051697	y = 0.5507159720490564	t = 7.476726055145264
x = -0.4000932293104193	y = 0.54959485314553	t = 7.509300231933594
x = -0.4013825712121335	y = 0.5488970150736975	t = 7.534439563751221
x = -0.4022421324799429	y = 0.5484317896924757	t = 7.548613548278809
x = -0.40353596426817123	y = 0.5477423117611503	t = 7.568234205245972
x = -0.40592813233249914	y = 0.5465168164818157	t = 7.595708847045898
x = -0.40724149513932023	y = 0.5458653115688071	t = 7.609745264053345
x = -0.4083446059380121	y = 0.5453401716610071	t = 7.625267028808594
x = -0.40967638558195807	y = 0.5447271924656127	t = 7.639390468597412
x = -0.41056686516562446	y = 0.544324295035087	t = 7.654401540756226
x = -0.41145734474929097	y = 0.543921397604561	t = 7.667892932891846
x = -0.4125720683041893	y = 0.5434213808517321	t = 7.6830103397369385
x = -0.41346123930063533	y = 0.5430156036129297	t = 7.698567867279053
x = -0.4145710556705903	y = 0.5425047876167677	t = 7.713589906692505
x = -0.4150136503758538	y = 0.5422975920956153	t = 7.726945877075195
x = -0.4161150558523104	y = 0.541768884867193	t = 7.7425217628479
x = -0.4167727880709779	y = 0.5414452593783474	t = 7.757503986358643
x = -0.4178601371911269	y = 0.5408882160695591	t = 7.777468204498291
x = -0.41829362549853377	y = 0.5406625881802052	t = 7.792613506317139
x = -0.41915766310895414	y = 0.540205730175755	t = 7.807498455047607
x = -0.42023585626581106	y = 0.5396311652329838	t = 7.824960470199585
x = -0.4213195770343283	y = 0.539067095509599	t = 7.839813470840454
x = -0.4221894563304476	y = 0.5386214608625682	t = 7.853779077529907
x = -0.4232821625137973	y = 0.5380750008422338	t = 7.867692947387695
x = -0.42460178885539185	y = 0.537436278028656	t = 7.88367772102356
x = -0.42526467159549547	y = 0.5371233377765687	t = 7.896739482879639
x = -0.4263711583586539	y = 0.536605348973688	t = 7.910877704620361
x = -0.42725634776918064	y = 0.5361909579313833	t = 7.925903081893921
x = -0.42880307416275587	y = 0.5354607640098463	t = 7.94921612739563
x = -0.429464940641971	y = 0.5351456800651663	t = 7.9649999141693115
x = -0.4301237167867455	y = 0.5348241849336637	t = 7.978431701660156
x = -0.4309992919912929	y = 0.5343898483249914	t = 7.994387865066528
x = -0.43165277972445604	y = 0.534057735526218	t = 8.008775234222412
x = -0.4323030121855663	y = 0.5337192936921872	t = 8.02305793762207
x = -0.4329521459195734	y = 0.5333787492400555	t = 8.037925720214844
x = -0.4336001741273887	y = 0.5330361057367178	t = 8.052948951721191
x = -0.4346820636840672	y = 0.5324685316498314	t = 8.068350315093994
x = -0.43576941280421627	y = 0.531911488341043	t = 8.082308769226074
x = -0.43730412131444035	y = 0.5311563622004034	t = 8.105256080627441
x = -0.4386319054302305	y = 0.5305347756369464	t = 8.125469207763672
x = -0.4399636850741765	y = 0.529921796441552	t = 8.147181034088135
x = -0.44173939126610445	y = 0.5291044908476928	t = 8.175943613052368
x = -0.4424042856881223	y = 0.5287958477916016	t = 8.191450834274292
x = -0.44328812934159373	y = 0.5283785941221519	t = 8.205811500549316
x = -0.443947942512391	y = 0.528059232715363	t = 8.220859289169312
x = -0.4443864306581693	y = 0.527843482389466	t = 8.235228776931763
x = -0.4450409898077133	y = 0.5275134862557734	t = 8.2502601146698
x = -0.44569231418533	y = 0.5271771505847155	t = 8.26509428024292
x = -0.4461250700080014	y = 0.526950120949961	t = 8.278405666351318
x = -0.4467708668125558	y = 0.5266032901328018	t = 8.294646263122559
x = -0.4474177827066699	y = 0.5262585511671392	t = 8.308442115783691
x = -0.4484978297196954	y = 0.5256874786615764	t = 8.324896097183228
x = -0.4493677090158146	y = 0.5252418440145457	t = 8.338897943496704
x = -0.45024045454853995	y = 0.5248018491696222	t = 8.353931188583374
x = -0.4517800186137336	y = 0.5240566725537814	t = 8.377670288085938
x = -0.4528848231805728	y = 0.5235351054669694	t = 8.392934560775757
x = -0.453548715238468	y = 0.5232243121852408	t = 8.407498836517334
x = -0.45443390464899486	y = 0.5228099211429361	t = 8.42252779006958
x = -0.4553190940595217	y = 0.5223955301006314	t = 8.439239263534546
