x = -0.23383518821890692	y = -0.8725774004191583	t = 4.609914064407349
x = -0.23274545425356968	y = -0.8735581452375517	t = 4.623845338821411
x = -0.2316493950500749	y = -0.8745318159911688	t = 4.638939619064331
x = -0.23073864312674364	y = -0.8753461600775986	t = 4.652446508407593
x = -0.22945990738933297	y = -0.8764821092901519	t = 4.667530536651611
x = -0.2285439035403634	y = -0.8772905412944837	t = 4.681519031524658
x = -0.22744469892159994	y = -0.8782606596996818	t = 4.69615912437439
x = -0.22652608348755154	y = -0.8790661229460704	t = 4.7115185260772705
x = -0.2254237449666934	y = -0.8800326788417369	t = 4.724945783615112
x = -0.22413404061024716	y = -0.8811561593144622	t = 4.740800619125366
x = -0.22339706669227793	y = -0.8817981481560195	t = 4.75450873374939
x = -0.22210373309553966	y = -0.8829174487890845	t = 4.7720160484313965
x = -0.2206256375564102	y = -0.8841966495125873	t = 4.786063194274902
x = -0.219699245206031	y = -0.8849931559909751	t = 4.801197290420532
x = -0.21877027992035036	y = -0.8857866601528767	t = 4.816125869750977
x = -0.2176555215775336	y = -0.8867388651471586	t = 4.83026647567749
x = -0.2163513816902581	y = -0.8878455560950066	t = 4.8443968296051025
x = -0.21541729975103488	y = -0.8886330307217545	t = 4.860162734985352
x = -0.21429640142396697	y = -0.889578000273852	t = 4.873054265975952
x = -0.212985125578546	y = -0.8906762267335803	t = 4.8903114795684814
x = -0.21204596612033094	y = -0.8914576388329235	t = 4.903462648391724
x = -0.2109189747704729	y = -0.8923953333521354	t = 4.918363332748413
x = -0.2097919834206148	y = -0.8933330278713473	t = 4.932443618774414
x = -0.20847362655461757	y = -0.8944227438313614	t = 4.9479827880859375
x = -0.20695890352337656	y = -0.8956583550373776	t = 4.9663474559783936
x = -0.20620154200775612	y = -0.8962761606403856	t = 4.980905771255493
x = -0.20487266726716646	y = -0.8973530253595841	t = 4.99638819694519
x = -0.20373363177523246	y = -0.8982760522617541	t = 5.011193752288818
x = -0.2027819511251734	y = -0.8990421653717177	t = 5.0246357917785645
x = -0.20163993434510252	y = -0.8999615011036739	t = 5.04008936882019
x = -0.20049791756503166	y = -0.9008808368356301	t = 5.054580926895142
x = -0.1993499741245661	y = -0.9017927613782909	t = 5.069916725158691
x = -0.19839581903572018	y = -0.9025557904887345	t = 5.082729816436768
x = -0.19705655168851033	y = -0.903619702455172	t = 5.098681926727295
x = -0.19476066480757914	y = -0.9054435515404935	t = 5.127021312713623
x = -0.19361272136711355	y = -0.9063554760831543	t = 5.141141891479492
x = -0.19092047001905713	y = -0.9084659180931166	t = 5.175300359725952
x = -0.1886011655564294	y = -0.910259893808029	t = 5.209543228149414
x = -0.1860823090873208	y = -0.9121952256919819	t = 5.239278793334961
