x = 0.5009016947803093	y = 0.047764764921328536	t = 3.3020248413085938
x = 0.5009259266669173	y = 0.05045246273606384	t = 3.316990613937378
x = 0.500941460051524	y = 0.053140224898462915	t = 3.330570936203003
x = 0.5009397654911787	y = 0.05558368526365916	t = 3.344648838043213
x = 0.5009118057475249	y = 0.058271346883059294	t = 3.359088659286499
x = 0.5008751478923412	y = 0.0609589039390703	t = 3.3729758262634277
x = 0.500841822569447	y = 0.06340213762635309	t = 3.3875041007995605
x = 0.5008018321819739	y = 0.06633401805109246	t = 3.402489423751831
x = 0.500789348951896	y = 0.06951049276088969	t = 3.4182748794555664
x = 0.5007871460234471	y = 0.0726869912356448	t = 3.432401180267334
x = 0.5008012672821804	y = 0.07513041138328039	t = 3.4468626976013184
x = 0.5008431783628378	y = 0.07855099996711269	t = 3.461015462875366
x = 0.5008731148490215	y = 0.08099427752699295	t = 3.4760184288024902
x = 0.5009147428871046	y = 0.08368176219375983	t = 3.4900131225585938
x = 0.5009536603191436	y = 0.08685802302160413	t = 3.505551338195801
x = 0.5009835968053273	y = 0.08930130058148439	t = 3.519313097000122
x = 0.5010078286919353	y = 0.09198899839621968	t = 3.5335538387298584
x = 0.501023362076542	y = 0.09467676055861886	t = 3.5480117797851562
x = 0.501008958349529	y = 0.098341923685308	t = 3.568429708480835
x = 0.5009523053006087	y = 0.10249542095368874	t = 3.5889761447906494
x = 0.5008987032482611	y = 0.10567146790438066	t = 3.608623743057251
x = 0.5008353851347621	y = 0.11031361191021793	t = 3.6320977210998535
x = 0.5008190609108141	y = 0.11446746345379899	t = 3.6521053314208984
x = 0.5008265169688947	y = 0.11739960711727424	t = 3.668673276901245
x = 0.5008654344009337	y = 0.12057586794511858	t = 3.6840100288391113
x = 0.5009244568464322	y = 0.1232630268683289	t = 3.69789457321167
x = 0.5009888449687941	y = 0.12619447296637656	t = 3.7121760845184326
x = 0.5010565637362365	y = 0.12888142679854372	t = 3.7273354530334473
x = 0.5011304387552646	y = 0.1318126491609079	t = 3.741244077682495
x = 0.5011787298470362	y = 0.1340112337344436	t = 3.7554097175598145
x = 0.5012290553523839	y = 0.13669856960313828	t = 3.770775556564331
x = 0.501270683390467	y = 0.13938605426990516	t = 3.7855288982391357
x = 0.5012927123782924	y = 0.1418294159196645	t = 3.798722505569458
x = 0.5012905094498435	y = 0.14500591439441957	t = 3.8170952796936035
x = 0.5012818672136358	y = 0.14720501227043314	t = 3.830841302871704
x = 0.5012513656751044	y = 0.15013700676432412	t = 3.846083402633667
x = 0.5012106969570626	y = 0.15404633275617882	t = 3.8675172328948975
x = 0.5011801954185312	y = 0.15697832725006985	t = 3.884052276611328
x = 0.5011609340792603	y = 0.15966606528203484	t = 3.8983325958251953
x = 0.5011503713461175	y = 0.16235385157494023	t = 3.914107322692871
x = 0.5011687289824708	y = 0.16553029776686642	t = 3.930208444595337
x = 0.5011929608690787	y = 0.16821799558160183	t = 3.9449832439422607
x = 0.5012459420084571	y = 0.1716384306120323	t = 3.9640250205993652
x = 0.5012788721432593	y = 0.17432603592790058	t = 3.977933645248413
x = 0.5013205001813423	y = 0.1770135205946674	t = 3.993523359298706
x = 0.5013474430189078	y = 0.1792124703985597	t = 4.00683069229126
x = 0.5013716749055157	y = 0.1819001682132949	t = 4.0210795402526855
x = 0.5013843840383757	y = 0.184099246346167	t = 4.036813735961914
x = 0.5013899760819361	y = 0.18629835409377335	t = 4.050532579421997
x = 0.5013881120655563	y = 0.1889861604954893	t = 4.0661351680755615
x = 0.5013706017571282	y = 0.1914295587063664	t = 4.079026937484741
x = 0.5013426420134744	y = 0.19411722032576656	t = 4.093065023422241
x = 0.5013126492228697	y = 0.19631613064432113	t = 4.1073877811431885
x = 0.5012793238999754	y = 0.19875936433160393	t = 4.12144136428833
x = 0.5012618135915473	y = 0.2012027625424812	t = 4.136502265930176
x = 0.5012531713553395	y = 0.20340186041849473	t = 4.149367570877075
x = 0.5012606274134201	y = 0.20633400408196997	t = 4.164911985397339
x = 0.5012826564012456	y = 0.20877736573172925	t = 4.178772449493408
